Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,
TIME,HR,CPM,TIME,HR,CPM,TIME,HR,CPM,
2019-06-15 20-32-27,140,0,2019-06-15 20-32-26,162,0,2019-06-15 20-32-28,188,0,
2019-06-15 20-32-28,139,0,2019-06-15 20-32-27,162,0,2019-06-15 20-32-29,188,0,
2019-06-15 20-32-28,141,0,2019-06-15 20-32-28,162,0,2019-06-15 20-32-30,188,0,
2019-06-15 20-32-30,140,0,2019-06-15 20-32-29,162,0,2019-06-15 20-32-31,188,0,
2019-06-15 20-32-31,139,0,2019-06-15 20-32-30,162,0,2019-06-15 20-32-32,190,0,
2019-06-15 20-32-31,139,0,2019-06-15 20-32-31,162,0,2019-06-15 20-32-33,190,0,
2019-06-15 20-32-32,138,0,2019-06-15 20-32-32,161,0,2019-06-15 20-32-34,192,0,
2019-06-15 20-32-34,138,0,2019-06-15 20-32-33,161,0,2019-06-15 20-32-35,192,0,
2019-06-15 20-32-34,137,0,2019-06-15 20-32-34,161,0,2019-06-15 20-32-36,192,0,
2019-06-15 20-32-35,136,0,2019-06-15 20-32-35,161,0,2019-06-15 20-32-37,192,0,
2019-06-15 20-32-36,135,0,2019-06-15 20-32-36,161,0,2019-06-15 20-32-38,192,0,
2019-06-15 20-32-37,135,0,2019-06-15 20-32-37,161,0,2019-06-15 20-32-39,192,0,
2019-06-15 20-32-38,134,0,2019-06-15 20-32-38,161,0,2019-06-15 20-32-40,192,0,
2019-06-15 20-32-39,133,0,2019-06-15 20-32-39,161,0,2019-06-15 20-32-41,192,0,
2019-06-15 20-32-40,134,0,2019-06-15 20-32-40,161,0,2019-06-15 20-32-42,192,0,
2019-06-15 20-32-41,133,0,2019-06-15 20-32-41,161,0,2019-06-15 20-32-43,191,0,
2019-06-15 20-32-42,133,0,2019-06-15 20-32-42,161,0,2019-06-15 20-32-44,191,0,
2019-06-15 20-32-43,135,0,2019-06-15 20-32-43,161,0,2019-06-15 20-32-45,191,0,
2019-06-15 20-32-44,134,0,2019-06-15 20-32-44,161,0,2019-06-15 20-32-46,191,0,
2019-06-15 20-32-45,133,0,2019-06-15 20-32-45,160,0,2019-06-15 20-32-47,191,0,
2019-06-15 20-32-46,135,0,2019-06-15 20-32-46,160,0,2019-06-15 20-32-48,191,0,
2019-06-15 20-32-47,137,0,2019-06-15 20-32-47,160,0,2019-06-15 20-32-49,191,0,
2019-06-15 20-32-48,136,0,2019-06-15 20-32-48,160,0,2019-06-15 20-32-50,192,0,
2019-06-15 20-32-49,138,0,2019-06-15 20-32-49,160,0,2019-06-15 20-32-51,193,0,
2019-06-15 20-32-50,138,0,2019-06-15 20-32-50,160,0,2019-06-15 20-32-52,193,0,
2019-06-15 20-32-51,139,0,2019-06-15 20-32-51,160,0,2019-06-15 20-32-53,192,0,
2019-06-15 20-32-52,138,0,2019-06-15 20-32-52,159,0,2019-06-15 20-32-54,192,0,
2019-06-15 20-32-53,140,0,2019-06-15 20-32-53,159,0,2019-06-15 20-32-55,192,0,
2019-06-15 20-32-54,140,0,2019-06-15 20-32-54,159,0,2019-06-15 20-32-56,192,0,
2019-06-15 20-32-55,141,0,2019-06-15 20-32-55,159,0,2019-06-15 20-32-57,192,0,
2019-06-15 20-32-56,142,0,2019-06-15 20-32-56,159,0,2019-06-15 20-32-58,192,0,
2019-06-15 20-32-57,144,0,2019-06-15 20-32-57,159,0,2019-06-15 20-32-59,192,0,
2019-06-15 20-32-58,145,0,2019-06-15 20-32-58,159,0,2019-06-15 20-33-00,192,0,
2019-06-15 20-32-59,144,0,2019-06-15 20-32-59,159,0,2019-06-15 20-33-01,192,0,
2019-06-15 20-33-00,145,0,2019-06-15 20-33-00,159,0,2019-06-15 20-33-02,192,0,
2019-06-15 20-33-01,146,0,2019-06-15 20-33-01,159,0,2019-06-15 20-33-03,192,0,
2019-06-15 20-33-02,149,0,2019-06-15 20-33-02,158,0,2019-06-15 20-33-04,192,0,
2019-06-15 20-33-03,150,0,2019-06-15 20-33-03,158,0,2019-06-15 20-33-05,192,0,
2019-06-15 20-33-04,150,0,2019-06-15 20-33-04,158,0,2019-06-15 20-33-06,193,0,
2019-06-15 20-33-05,149,0,2019-06-15 20-33-05,158,0,2019-06-15 20-33-07,192,0,
2019-06-15 20-33-06,152,0,2019-06-15 20-33-06,158,0,2019-06-15 20-33-08,193,0,
2019-06-15 20-33-07,152,0,2019-06-15 20-33-07,158,0,2019-06-15 20-33-09,193,0,
2019-06-15 20-33-08,154,0,2019-06-15 20-33-08,158,0,2019-06-15 20-33-10,193,0,
2019-06-15 20-33-09,153,0,2019-06-15 20-33-09,158,0,2019-06-15 20-33-11,193,0,
2019-06-15 20-33-10,152,0,2019-06-15 20-33-10,157,0,2019-06-15 20-33-12,193,0,
2019-06-15 20-33-11,151,0,2019-06-15 20-33-11,157,0,2019-06-15 20-33-13,193,0,
2019-06-15 20-33-12,150,0,2019-06-15 20-33-12,157,0,2019-06-15 20-33-14,192,0,
2019-06-15 20-33-13,149,0,2019-06-15 20-33-13,157,0,2019-06-15 20-33-15,192,0,
2019-06-15 20-33-14,148,0,2019-06-15 20-33-14,157,0,2019-06-15 20-33-16,192,0,
2019-06-15 20-33-15,147,0,2019-06-15 20-33-15,157,0,2019-06-15 20-33-17,192,0,
