Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,
TIME,HR,CPM,TIME,HR,CPM,TIM,HR,CPM,TIME,HR,CPM,
2019-06-12 11-00-36,139,0,2019-06-12 11-00-36,139,0,2019-06-12 11-00-36,140,0,2019-06-12 11-00-36,140,0,
2019-06-12 11-00-37,140,0,2019-06-12 11-00-37,140,0,2019-06-12 11-00-37,140,0,2019-06-12 11-00-37,140,0,
2019-06-12 11-00-38,140,0,2019-06-12 11-00-38,140,0,2019-06-12 11-00-38,140,0,2019-06-12 11-00-38,141,0,
2019-06-12 11-00-39,140,0,2019-06-12 11-00-39,141,0,2019-06-12 11-00-39,139,0,2019-06-12 11-00-39,140,0,
2019-06-12 11-00-40,141,0,2019-06-12 11-00-40,141,0,2019-06-12 11-00-40,139,0,2019-06-12 11-00-40,140,0,
2019-06-12 11-00-41,141,0,2019-06-12 11-00-41,141,0,2019-06-12 11-00-41,140,0,2019-06-12 11-00-41,140,0,
2019-06-12 11-00-42,140,0,2019-06-12 11-00-42,141,0,2019-06-12 11-00-42,139,0,2019-06-12 11-00-42,140,0,
2019-06-12 11-00-43,140,0,2019-06-12 11-00-43,141,0,2019-06-12 11-00-43,140,0,2019-06-12 11-00-43,140,0,
2019-06-12 11-00-44,140,0,2019-06-12 11-00-44,141,0,2019-06-12 11-00-44,140,0,2019-06-12 11-00-44,140,0,
2019-06-12 11-00-45,141,0,2019-06-12 11-00-45,140,0,2019-06-12 11-00-45,140,0,2019-06-12 11-00-45,139,0,
2019-06-12 11-00-46,141,0,2019-06-12 11-00-46,140,0,2019-06-12 11-00-46,141,0,2019-06-12 11-00-46,140,0,
2019-06-12 11-00-47,141,0,2019-06-12 11-00-47,139,0,2019-06-12 11-00-47,141,0,2019-06-12 11-00-47,140,0,
2019-06-12 11-00-48,141,0,2019-06-12 11-00-48,140,0,2019-06-12 11-00-48,141,0,2019-06-12 11-00-48,140,0,
2019-06-12 11-00-49,141,0,2019-06-12 11-00-49,140,0,2019-06-12 11-00-49,144,0,2019-06-12 11-00-49,140,0,
2019-06-12 11-00-50,141,0,2019-06-12 11-00-50,140,0,2019-06-12 11-00-50,143,0,2019-06-12 11-00-50,139,0,
