Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,
TIME,HR,CPM,TIME,HR,CPM,TIME,HR,CPM,TIME,HR,CPM,
2019-06-12 11-26-33,141,0,2019-06-12 11-26-33,141,0,2019-06-12 11-26-32,140,0,2019-06-12 11-26-32,144,0,
2019-06-12 11-26-34,141,0,2019-06-12 11-26-34,141,0,2019-06-12 11-26-33,140,0,2019-06-12 11-26-33,143,0,
2019-06-12 11-26-35,143,0,2019-06-12 11-26-35,141,0,2019-06-12 11-26-34,140,0,2019-06-12 11-26-34,143,0,
2019-06-12 11-26-36,142,0,2019-06-12 11-26-36,141,0,2019-06-12 11-26-35,140,0,2019-06-12 11-26-35,143,0,
2019-06-12 11-26-37,142,0,2019-06-12 11-26-37,141,0,2019-06-12 11-26-36,141,0,2019-06-12 11-26-36,142,0,
2019-06-12 11-26-38,142,0,2019-06-12 11-26-38,141,0,2019-06-12 11-26-37,141,0,2019-06-12 11-26-37,142,0,
2019-06-12 11-26-39,142,0,2019-06-12 11-26-39,141,0,2019-06-12 11-26-38,141,0,2019-06-12 11-26-38,142,0,
2019-06-12 11-26-40,141,0,2019-06-12 11-26-40,141,0,2019-06-12 11-26-39,141,0,2019-06-12 11-26-39,142,0,
2019-06-12 11-26-41,141,0,2019-06-12 11-26-41,141,0,2019-06-12 11-26-40,141,0,2019-06-12 11-26-40,141,0,
2019-06-12 11-26-42,141,0,2019-06-12 11-26-42,141,0,2019-06-12 11-26-41,141,0,2019-06-12 11-26-41,141,0,
2019-06-12 11-26-43,140,0,2019-06-12 11-26-43,141,0,2019-06-12 11-26-42,141,0,2019-06-12 11-26-42,141,0,
2019-06-12 11-26-44,142,0,2019-06-12 11-26-44,144,0,2019-06-12 11-26-43,141,0,2019-06-12 11-26-43,145,0,
2019-06-12 11-26-45,141,0,2019-06-12 11-26-45,144,0,2019-06-12 11-26-44,141,0,2019-06-12 11-26-44,148,0,
2019-06-12 11-26-46,141,0,2019-06-12 11-26-46,144,0,2019-06-12 11-26-45,140,0,2019-06-12 11-26-45,148,0,
2019-06-12 11-26-47,145,0,2019-06-12 11-26-47,143,0,2019-06-12 11-26-46,142,0,2019-06-12 11-26-46,148,0,
2019-06-12 11-26-48,146,0,2019-06-12 11-26-48,146,0,2019-06-12 11-26-47,144,0,2019-06-12 11-26-47,147,0,
2019-06-12 11-26-49,145,0,2019-06-12 11-26-49,145,0,2019-06-12 11-26-48,144,0,2019-06-12 11-26-48,146,0,
2019-06-12 11-26-50,145,0,2019-06-12 11-26-50,146,0,2019-06-12 11-26-48,143,0,2019-06-12 11-26-49,145,0,
2019-06-12 11-26-51,146,0,2019-06-12 11-26-51,146,0,2019-06-12 11-26-50,145,0,2019-06-12 11-26-50,149,0,
2019-06-12 11-26-52,146,0,2019-06-12 11-26-52,146,0,2019-06-12 11-26-51,145,0,2019-06-12 11-26-51,149,0,
2019-06-12 11-26-53,146,0,2019-06-12 11-26-53,146,0,2019-06-12 11-26-51,146,0,2019-06-12 11-26-52,148,0,
2019-06-12 11-26-54,146,0,2019-06-12 11-26-54,146,0,2019-06-12 11-26-52,146,0,2019-06-12 11-26-53,148,0,
2019-06-12 11-26-55,146,0,2019-06-12 11-26-55,146,0,2019-06-12 11-26-53,146,0,2019-06-12 11-26-54,148,0,
2019-06-12 11-26-56,146,0,2019-06-12 11-26-56,146,0,2019-06-12 11-26-54,146,0,2019-06-12 11-26-55,151,0,
2019-06-12 11-26-56,146,0,2019-06-12 11-26-57,146,0,2019-06-12 11-26-55,146,0,2019-06-12 11-26-56,150,0,
